"tconst","primaryTitle","startYear","endYear","rank","averageRating","numVotes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt0903747","Breaking Bad",2008,"2013",1,9.5,2607568,"Bryan Cranston, Tim Hunter, Vince Gilligan, Jim McKay, Sam Catlin, Bronwen Hughes, David Slade, Félix Enríquez Alcalá, Michelle MacLaren, Scott Winant, Thomas Schnauz, Rian Johnson, Terry McDonough, Adam Bernstein, John Dahl, John Shiban, Peter Gould, Michael Slovis, Tricia Brock, Johan Renck, George Mastras, Peter Medak, Phil Abraham, Colin Bucksey, Charles Haid","Sam Catlin, George Mastras, Moira Walley-Beckett, Vince Gilligan, Patty Lin, John Shiban, Peter Gould, J. Roberts, Gennifer Hutchison, Thomas Schnauz","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">tt0903747</a>","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">Breaking Bad</a>"
"tt0185906","Band of Brothers",2001,"2001",2,9.4,592938,"Tom Hanks, David Leland, David Nutter, Richard Loncraine, Tony To, Phil Alden Robinson, Mikael Salomon, David Frankel","Stephen Ambrose, John Orloff, Tom Hanks, Graham Yost, E. Max Frye, Bruce C. McKenna, Erik Jendresen, Erik Bork","Action, Drama, History","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">tt0185906</a>","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">Band of Brothers</a>"
"tt7366338","Chernobyl",2019,"2019",3,9.3,1033105,"Johan Renck","Craig Mazin","Drama, History, Thriller","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">tt7366338</a>","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">Chernobyl</a>"
"tt0417299","Avatar: The Last Airbender",2005,"2008",4,9.3,439796,"Anthony Lioi, Joaquim Dos Santos, Lauren MacMullan, Dave Filoni, Oh Seung-hyun, Michael Dante DiMartino, Bryan Konietzko, Ethan Spaulding, Giancarlo Volpe","Pete Goldfinger, James Eagan, Gary Scheppke, Ian Wilcox, Josh Stolberg, Tim Hedrick, Joshua Hamilton, Lisa Wahlander, Michael Dante DiMartino, Aaron Ehasz, Matt Hubbard, John O'Bryan, May Chan, Nick Malis, Elizabeth Welch Ehasz, Giancarlo Volpe, Lauren MacMullan, Andrew Huebner, Scott Sonneborn, Katie Mattila, Bryan Konietzko, Sib Ventress, Justin Ridge, Joann Estoesta","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">tt0417299</a>","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">Avatar: The Last Airbender</a>"
"tt0306414","The Wire",2002,"2008",5,9.3,430364,"Leslie Libman, Dominic West, Gloria Muzio, Timothy Van Patten, Alex Zakrzewski, Agnieszka Holland, Joe Chappelle, Jim McKay, Scott Kecken, Rob Bailey, Daniel Attias, Christine Moore, Anthony Hemingway, Seith Mann, Ernest Dickerson, Brad Anderson, Joy Kecken, Clark Johnson, David Platt, Robert F. Colesberry, Peter Medak, Clement Virgo, Elodie Keene, Milcho Manchevski, Ed Bianchi, Thomas J. Wright, Steve Shill","Joy Kecken, David Simon, Kia Corthron, William F. Zorzi, Richard Price, Eric Ellis Overmyer, David Mills, David H. Melnick, Ed Burns, Rafael Álvarez, George Pelecanos, Shamit Choksey, Chris Collins, Dennis Lehane","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">tt0306414</a>","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">The Wire</a>"
"tt0795176","Planet Earth",2006,"2006",6,9.4,235102,"Mark Linfield, Alastair Fothergill","Gary Parker, Alastair Fothergill, Vanessa Berlowitz, David Attenborough","Documentary, Family","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">tt0795176</a>","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">Planet Earth</a>"
"tt5491994","Planet Earth II",2016,"2016",7,9.4,174905,"Emma Napper, Justin Anderson, Ed Charles, Fredi Devas, Elizabeth White, Chadden Hunter","Elizabeth White","Documentary, Family","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">tt5491994</a>","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">Planet Earth II</a>"
"tt0944947","Game of Thrones",2011,"2019",8,9.2,2609382,"Alan Taylor, Daniel Sackheim, Matt Shakman, Jack Bender, Miguel Sapochnik, D.B. Weiss, Alex Graves, Tom McCarthy, Mark Mylod, David Benioff, Jeremy Podeswa, Neil Marshall, Alik Sakharov, Michael Slovis, Daniel Minahan, Timothy Van Patten, Brian Kirk, Michelle MacLaren, David Nutter, David Petrarca","Vanessa Taylor, David Benioff, Jane Espenson, Gursimran Sandhu, Ethan J. Antonucci, Bryan Cogman, D.B. Weiss, Dave Hill, George R.R. Martin","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">tt0944947</a>","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">Game of Thrones</a>"
"tt0141842","The Sopranos",1999,"2007",9,9.2,577501,"Mike Figgis, Henry Bronchtein, Daniel Attias, Rodrigo García, Jack Bender, Allen Coulter, Steve Shill, Terence Winter, Andy Wolk, James Hayman, David Chase, Alan Taylor, John Patterson, Matthew Penn, Steve Buscemi, David Nutter, Phil Abraham, Martin Bruestle, Lorraine Senna, Nick Gomez, Timothy Van Patten, Lee Tamahori, Peter Bogdanovich, Danny Leiner","Matthew Weiner, Terence Winter, Toni Kalem, Lawrence Konner, Robin Green, Todd A. Kessler, Michael Imperioli, Joe Bosso, Mark Saraceni, Salvatore Stabile, Andrew Schneider, Frank Renzulli, Michael Caleo, James Manos Jr., David Flebotte, Diane Frolov, Timothy Van Patten, Jason Cahill, David Chase, Nick Santora, Maria Laurino, Mitchell Burgess","Crime, Drama","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">tt0141842</a>","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">The Sopranos</a>"
"tt2560140","Attack on Titan",2013,"2023",10,9.1,711299,"Kazuo Miyake, Keisuke Onishi, Daisuke Tokudo, Kôki Aoshima, Ken Andô, Naoki Matsuura, Masashi Koizuka, Makoto Bessho, Satonobu Kikuchi, Tomomi Ikeda, Matsuo Asami, Kiyoshi Fukumoto, Kenji Imura, Yasuhiro Akamatsu, Takayuki Hirao, Masayuki Miyaji, Yasushi Muroya, Hirokazu Yamada, Tomoko Hiramuki, Tetsuya Wakano, Tetsurô Araki, Shin Wakabayashi, Takashi Andô, Yoshiyuki Fujiwara, Yuzuru Tachikawa, Hiroyuki Tanaka, Kaori Makita, Yoshihide Ibata, Hitomi Ezoe, Aiko Sakuraba, Ryûta Kawahara, Ryôsuke Azuma, Yûichirô Hayashi, Mitsue Yamazaki, Miki Komuro, Shintarô Itoga, Shinpei Ezaki, Hidekazu Hara, Tokio Igarashi, Teruyuki Ômine, Yuumi Kawai, Shingo Uchida, Tatsuma Minamikawa, Jun Shishido, Akitoshi Yokoyama","Noboru Takagi, Aaron Dismuke, Hajime Isayama, Bonny Clinkenbeard, Tyson Rinehart, Yasuko Kobayashi, John Burgmeier, Jarrod Greene, Hiroshi Seko, Jeramey Kraatz, J. Michael Tatum","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">tt2560140</a>","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">Attack on Titan</a>"
